               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035125,             0.01488,             0.01022,             0.75563,             0.75617,               0.786,              0.5441,            0.026604,           0.0048229,           0.0053662,           0.0082675,           0.0082675,           0.0082675
                  37,            0.032878,            0.014741,            0.010946,              0.7704,             0.72559,             0.77991,             0.54072,            0.026251,           0.0051226,           0.0052439,            0.008218,            0.008218,            0.008218
                  38,            0.033347,            0.014807,            0.010531,             0.74892,             0.73186,              0.7651,             0.52078,            0.027019,           0.0048843,           0.0057556,           0.0081685,           0.0081685,           0.0081685
                  39,            0.034313,            0.015131,            0.011581,             0.78137,             0.74535,             0.79016,             0.54993,            0.027179,           0.0049175,           0.0048495,            0.008119,            0.008119,            0.008119
                  40,            0.032142,            0.014717,           0.0089612,             0.72608,              0.7071,             0.74679,             0.50894,            0.026823,           0.0048762,           0.0047446,           0.0080695,           0.0080695,           0.0080695
                  41,            0.034002,            0.015017,            0.011088,             0.76417,             0.77908,             0.79499,             0.54599,            0.027472,           0.0050027,           0.0050415,             0.00802,             0.00802,             0.00802
                  42,            0.033254,            0.015069,            0.011348,             0.73974,             0.71582,             0.76434,             0.52087,            0.027263,           0.0048794,           0.0046201,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032668,            0.014991,            0.010168,             0.72109,             0.74099,             0.76296,             0.51944,            0.027561,            0.005013,           0.0048286,            0.007921,            0.007921,            0.007921
                  44,            0.033253,            0.014655,            0.010032,             0.81423,             0.76221,             0.82327,             0.56587,            0.025649,            0.004884,           0.0050052,           0.0078715,           0.0078715,           0.0078715
                  45,            0.033552,            0.014628,           0.0091429,             0.79091,             0.75528,             0.81578,             0.57107,            0.026401,           0.0046816,           0.0045788,            0.007822,            0.007822,            0.007822
                  46,            0.031858,            0.014542,           0.0095549,             0.78377,             0.78578,             0.81373,             0.56503,            0.026439,           0.0048341,           0.0037817,           0.0077725,           0.0077725,           0.0077725
                  47,            0.033577,            0.014619,           0.0095824,             0.74866,             0.77232,              0.7941,             0.54769,            0.025955,           0.0049044,           0.0046962,            0.007723,            0.007723,            0.007723
                  48,            0.032298,             0.01429,            0.010273,             0.78635,             0.74853,             0.79417,              0.5584,            0.026519,           0.0050019,           0.0042529,           0.0076735,           0.0076735,           0.0076735
                  49,             0.03104,            0.014209,            0.009545,             0.84122,             0.78465,             0.83868,             0.59073,            0.026164,           0.0047506,           0.0041712,            0.007624,            0.007624,            0.007624
                  50,             0.03168,            0.014358,            0.010127,             0.76937,              0.7791,             0.80577,             0.55678,            0.025666,           0.0047575,           0.0049461,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030933,            0.014096,           0.0086644,              0.8152,             0.80689,             0.84207,             0.59818,             0.02573,           0.0047246,           0.0040967,            0.007525,            0.007525,            0.007525
