               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03084,            0.013772,           0.0028384,             0.90361,              0.8569,             0.89311,             0.66579,            0.020035,           0.0044559,          0.00034079,            0.008845,            0.008845,            0.008845
                  37,            0.030759,              0.0137,             0.00273,             0.88125,             0.86765,             0.89889,             0.69008,            0.018021,           0.0043026,          0.00029193,            0.008812,            0.008812,            0.008812
                  38,            0.030536,             0.01358,           0.0030227,             0.90042,             0.86771,             0.90347,             0.68973,            0.018008,            0.004403,          0.00042853,            0.008779,            0.008779,            0.008779
                  39,            0.030823,            0.014003,           0.0026843,             0.89152,             0.88618,              0.9017,             0.68032,            0.018445,           0.0043941,          0.00037996,            0.008746,            0.008746,            0.008746
                  40,            0.030376,            0.013467,           0.0028127,             0.88426,             0.85593,              0.8881,             0.66374,            0.019047,           0.0045608,          0.00030167,            0.008713,            0.008713,            0.008713
                  41,            0.030112,             0.01343,           0.0026438,             0.87993,             0.88249,             0.90468,             0.68591,            0.017651,           0.0043444,          0.00028851,             0.00868,             0.00868,             0.00868
                  42,            0.030499,            0.013519,            0.002456,             0.90394,             0.88497,             0.90804,             0.70043,            0.017693,           0.0041757,          0.00027542,            0.008647,            0.008647,            0.008647
                  43,             0.02968,            0.013318,           0.0029718,             0.90071,             0.89325,             0.90798,             0.70297,            0.017831,           0.0042159,          0.00026643,            0.008614,            0.008614,            0.008614
                  44,            0.029461,            0.013273,           0.0024201,             0.92923,             0.86341,             0.90708,             0.70924,            0.017585,           0.0041322,          0.00028763,            0.008581,            0.008581,            0.008581
                  45,            0.029162,            0.013328,           0.0021398,             0.90278,             0.86983,             0.90582,             0.69374,             0.01772,           0.0042145,          0.00023153,            0.008548,            0.008548,            0.008548
                  46,            0.029406,            0.013124,           0.0029383,             0.90131,              0.8826,             0.90583,              0.7035,            0.018004,           0.0040227,          0.00023855,            0.008515,            0.008515,            0.008515
                  47,            0.029576,            0.013102,            0.002242,             0.90666,             0.86642,             0.90668,              0.7053,            0.017834,           0.0041971,          0.00021879,            0.008482,            0.008482,            0.008482
                  48,            0.029668,            0.013317,           0.0025413,             0.92824,             0.87564,             0.91375,             0.70969,            0.017435,           0.0042265,           0.0002484,            0.008449,            0.008449,            0.008449
                  49,            0.028845,            0.013163,           0.0026734,             0.90339,             0.88416,             0.90805,             0.71527,            0.017731,           0.0040103,          0.00018043,            0.008416,            0.008416,            0.008416
