               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038839,            0.017588,           0.0053712,             0.81431,             0.79455,             0.82296,             0.49169,            0.025424,           0.0058939,           0.0014324,           0.0096634,           0.0096634,           0.0096634
                  36,            0.039069,            0.017263,           0.0049862,             0.81881,             0.80465,             0.82359,             0.52187,            0.025774,           0.0054737,          0.00055848,           0.0096535,           0.0096535,           0.0096535
                  37,            0.038937,            0.017249,           0.0050372,              0.8274,             0.78933,             0.82963,             0.54338,            0.025191,           0.0054326,          0.00055411,           0.0096436,           0.0096436,           0.0096436
                  38,            0.038209,            0.017037,           0.0055234,             0.86275,             0.82056,             0.84385,              0.5455,            0.025447,           0.0054472,          0.00059381,           0.0096337,           0.0096337,           0.0096337
                  39,            0.038312,            0.017294,           0.0046584,             0.80871,             0.76297,              0.8257,             0.52545,            0.024538,           0.0054171,          0.00079308,           0.0096238,           0.0096238,           0.0096238
                  40,              0.0376,            0.016962,           0.0045563,              0.8196,             0.80667,             0.84137,              0.5507,            0.025866,           0.0056225,          0.00092112,           0.0096139,           0.0096139,           0.0096139
                  41,            0.038755,            0.017119,           0.0046953,             0.82826,              0.8114,             0.84024,             0.55432,            0.024562,           0.0053671,            0.000503,            0.009604,            0.009604,            0.009604
                  42,            0.037941,            0.017207,           0.0050547,             0.82954,              0.8203,             0.84294,             0.55428,            0.023814,           0.0054325,          0.00051317,           0.0095941,           0.0095941,           0.0095941
                  43,            0.037031,            0.016844,           0.0048977,             0.85973,             0.79941,              0.8488,             0.56927,            0.023978,            0.005436,           0.0004175,           0.0095842,           0.0095842,           0.0095842
                  44,            0.037364,            0.016787,           0.0042254,             0.81297,             0.82154,             0.83128,             0.55124,            0.023982,           0.0054277,          0.00037178,           0.0095743,           0.0095743,           0.0095743
                  45,            0.037021,            0.016965,           0.0045599,             0.84399,             0.80008,             0.83122,             0.54873,            0.024366,           0.0053311,          0.00034899,           0.0095644,           0.0095644,           0.0095644
                  46,            0.036968,            0.016654,           0.0045941,             0.86803,             0.81858,             0.85851,             0.57371,            0.024057,           0.0052575,           0.0004434,           0.0095545,           0.0095545,           0.0095545
                  47,            0.036496,             0.01657,           0.0045309,             0.83272,              0.8372,             0.85474,             0.57484,            0.024086,           0.0052287,          0.00042197,           0.0095446,           0.0095446,           0.0095446
                  48,            0.036741,            0.016516,           0.0047973,             0.86306,             0.81886,             0.85344,             0.57697,             0.02319,           0.0051929,          0.00038559,           0.0095347,           0.0095347,           0.0095347
                  49,            0.035966,            0.016405,           0.0042427,             0.88075,              0.8259,              0.8603,             0.57837,            0.023604,            0.005146,          0.00030568,           0.0095248,           0.0095248,           0.0095248
                  50,            0.036404,            0.016686,           0.0045063,             0.86254,             0.81747,             0.86561,             0.58802,            0.023947,           0.0050733,          0.00036954,           0.0095149,           0.0095149,           0.0095149
                  51,            0.035798,            0.016352,           0.0042662,             0.86757,             0.83163,             0.86373,             0.58738,            0.023267,            0.005174,          0.00029232,            0.009505,            0.009505,            0.009505
                  52,            0.035776,            0.016624,           0.0045973,             0.86197,             0.81557,             0.86091,             0.58557,            0.023132,           0.0051718,          0.00030363,           0.0094951,           0.0094951,           0.0094951
                  53,            0.036584,            0.016551,           0.0051279,              0.8678,             0.82779,             0.86576,             0.58389,            0.023649,           0.0051932,          0.00030709,           0.0094852,           0.0094852,           0.0094852
                  54,            0.035735,            0.016163,           0.0035741,             0.85866,             0.83813,             0.86519,             0.59931,            0.022473,           0.0050366,          0.00026235,           0.0094753,           0.0094753,           0.0094753
                  55,            0.036107,            0.016339,           0.0048293,             0.84355,             0.83014,             0.85913,             0.59802,            0.022324,           0.0050087,            0.000267,           0.0094654,           0.0094654,           0.0094654
                  56,            0.035314,            0.016468,           0.0042318,             0.86268,             0.84034,              0.8657,             0.60198,            0.021748,           0.0050726,          0.00033868,           0.0094555,           0.0094555,           0.0094555
                  57,            0.034952,            0.015908,           0.0039927,             0.87683,             0.83916,             0.87367,             0.61418,            0.021739,           0.0050504,          0.00026495,           0.0094456,           0.0094456,           0.0094456
                  58,            0.035125,            0.016018,            0.004022,              0.8662,              0.8484,             0.87106,             0.60873,            0.021982,             0.00498,          0.00024194,           0.0094357,           0.0094357,           0.0094357
                  59,            0.035244,            0.016366,           0.0041316,              0.8845,             0.85818,             0.87623,             0.60326,            0.021985,           0.0049019,          0.00024557,           0.0094258,           0.0094258,           0.0094258
                  60,            0.035528,            0.016186,           0.0042909,             0.88243,             0.84665,              0.8769,             0.60733,             0.02213,           0.0048476,          0.00021954,           0.0094159,           0.0094159,           0.0094159
                  61,            0.035238,            0.016009,           0.0039927,             0.87877,             0.83497,             0.86971,             0.60975,            0.021875,           0.0048573,          0.00024647,            0.009406,            0.009406,            0.009406
                  62,            0.034174,            0.015926,           0.0039875,             0.85858,             0.84599,             0.86902,             0.61425,            0.021537,           0.0048465,          0.00025093,           0.0093961,           0.0093961,           0.0093961
                  63,            0.034426,            0.015627,           0.0036038,              0.8711,             0.84729,             0.86883,             0.61452,            0.021058,           0.0048112,          0.00022747,           0.0093862,           0.0093862,           0.0093862
