               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038859,            0.017181,           0.0044897,             0.80182,             0.72189,             0.79811,             0.44733,            0.027544,            0.005948,           0.0040869,            0.008845,            0.008845,            0.008845
                  37,            0.039039,            0.017308,           0.0049859,             0.84957,             0.79755,             0.83334,              0.5334,            0.024777,           0.0056504,          0.00055129,            0.008812,            0.008812,            0.008812
                  38,            0.038572,            0.017055,           0.0054201,             0.83877,              0.8092,              0.8305,             0.53307,            0.026031,           0.0056611,          0.00049301,            0.008779,            0.008779,            0.008779
                  39,            0.038668,            0.017364,           0.0047171,             0.84893,             0.80113,             0.83169,             0.55388,            0.024567,           0.0055702,          0.00041489,            0.008746,            0.008746,            0.008746
                  40,            0.037296,             0.01669,           0.0043099,             0.86905,             0.79447,             0.84202,             0.55372,            0.024839,           0.0056008,          0.00044316,            0.008713,            0.008713,            0.008713
                  41,            0.038493,            0.016971,           0.0047721,             0.82747,             0.78821,             0.83446,             0.54786,            0.024134,           0.0055547,          0.00050131,             0.00868,             0.00868,             0.00868
                  42,            0.037796,            0.017018,            0.004661,             0.82603,             0.80918,             0.83068,             0.54545,            0.024257,           0.0054829,          0.00036634,            0.008647,            0.008647,            0.008647
                  43,            0.037043,            0.016718,           0.0045894,             0.84833,             0.82227,             0.84753,             0.56179,            0.023951,           0.0056603,          0.00053255,            0.008614,            0.008614,            0.008614
                  44,            0.037045,            0.016712,           0.0043084,             0.83107,             0.82714,             0.84589,             0.56045,            0.023023,           0.0053237,          0.00028408,            0.008581,            0.008581,            0.008581
                  45,            0.036822,            0.016661,           0.0039395,             0.83488,             0.83742,             0.85432,             0.58319,            0.022145,           0.0051911,          0.00032448,            0.008548,            0.008548,            0.008548
                  46,             0.03666,             0.01629,           0.0040319,              0.8428,             0.83603,             0.85407,             0.57292,             0.02305,           0.0054085,            0.000366,            0.008515,            0.008515,            0.008515
                  47,            0.036592,            0.016502,           0.0041176,             0.85292,             0.82355,             0.85171,             0.56365,            0.023639,           0.0052738,          0.00038226,            0.008482,            0.008482,            0.008482
                  48,            0.037022,            0.016512,           0.0043834,             0.85142,              0.8062,             0.84709,             0.56823,            0.023188,           0.0053912,           0.0004148,            0.008449,            0.008449,            0.008449
                  49,             0.03599,            0.016295,           0.0041583,             0.87041,              0.8283,             0.86246,             0.58397,            0.022596,           0.0051856,          0.00029576,            0.008416,            0.008416,            0.008416
                  50,            0.036054,            0.016546,           0.0036666,             0.84632,             0.83107,             0.86126,             0.57803,            0.022381,           0.0051339,          0.00025816,            0.008383,            0.008383,            0.008383
                  51,            0.035463,            0.016162,           0.0040122,              0.8609,             0.80556,             0.85632,             0.57114,            0.022629,           0.0051942,          0.00027691,             0.00835,             0.00835,             0.00835
                  52,            0.035111,            0.016194,           0.0036983,             0.85209,             0.83251,              0.8596,             0.58238,            0.021989,           0.0052438,          0.00026809,            0.008317,            0.008317,            0.008317
                  53,            0.036112,            0.016295,           0.0045178,             0.83991,             0.82269,             0.85164,             0.58706,            0.022339,            0.005218,          0.00031689,            0.008284,            0.008284,            0.008284
