               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032015,            0.011082,           0.0047675,             0.79217,             0.69421,             0.76604,               0.549,             0.01906,           0.0035206,          0.00076531,            0.008845,            0.008845,            0.008845
                  37,             0.03073,            0.010824,           0.0035819,             0.75305,             0.72558,             0.77529,             0.57958,            0.018432,           0.0032859,          0.00062979,            0.008812,            0.008812,            0.008812
                  38,            0.030013,            0.010593,           0.0035715,             0.69763,             0.76176,             0.79066,              0.5718,             0.01839,           0.0032295,          0.00069011,            0.008779,            0.008779,            0.008779
                  39,            0.030386,            0.010897,           0.0042603,               0.776,             0.72492,             0.79102,             0.57385,             0.01846,           0.0032167,          0.00061462,            0.008746,            0.008746,            0.008746
                  40,            0.030618,            0.010839,           0.0043565,             0.80114,             0.72206,             0.79424,             0.57726,            0.018182,           0.0033576,          0.00074549,            0.008713,            0.008713,            0.008713
                  41,            0.029964,            0.010301,           0.0034862,             0.77049,             0.75839,             0.80682,             0.60346,            0.019185,           0.0032632,          0.00070342,             0.00868,             0.00868,             0.00868
                  42,            0.029442,            0.010382,           0.0037467,             0.79704,             0.75646,             0.80742,             0.58192,            0.018582,           0.0032483,          0.00081519,            0.008647,            0.008647,            0.008647
                  43,            0.030019,             0.01064,           0.0038197,             0.82803,             0.72686,              0.8201,             0.60577,            0.018618,           0.0031782,          0.00050648,            0.008614,            0.008614,            0.008614
                  44,            0.030426,            0.010378,           0.0046199,              0.7672,              0.7675,              0.8124,             0.57482,            0.017005,           0.0031971,          0.00090724,            0.008581,            0.008581,            0.008581
                  45,            0.029602,            0.010585,           0.0041499,             0.82777,             0.73298,             0.81478,             0.60329,            0.018082,           0.0031498,          0.00051677,            0.008548,            0.008548,            0.008548
                  46,            0.028472,            0.010278,              0.0032,             0.78369,             0.77248,             0.80062,             0.59907,            0.017848,           0.0030332,          0.00060713,            0.008515,            0.008515,            0.008515
                  47,             0.03004,            0.010465,           0.0038856,              0.7862,             0.75746,             0.79951,             0.57907,            0.017728,           0.0031455,          0.00080387,            0.008482,            0.008482,            0.008482
                  48,            0.030442,            0.010477,           0.0037929,              0.7321,             0.76637,             0.77673,             0.56734,            0.017655,           0.0034631,          0.00056186,            0.008449,            0.008449,            0.008449
                  49,            0.029719,            0.010181,           0.0032331,             0.74675,             0.78426,             0.81214,             0.59269,             0.01758,            0.003177,          0.00057497,            0.008416,            0.008416,            0.008416
                  50,            0.029903,            0.010486,           0.0043641,             0.83679,             0.76781,             0.83698,              0.5857,            0.018387,           0.0031439,           0.0007265,            0.008383,            0.008383,            0.008383
                  51,            0.028929,            0.010207,           0.0033683,             0.77868,             0.80241,             0.83228,              0.5994,            0.019032,           0.0030552,          0.00061009,             0.00835,             0.00835,             0.00835
                  52,            0.029477,            0.010371,           0.0037654,             0.78291,              0.7401,             0.79184,             0.56365,            0.017156,           0.0032421,          0.00069695,            0.008317,            0.008317,            0.008317
                  53,             0.02722,            0.010293,           0.0044062,             0.81455,             0.75792,             0.83335,             0.60642,            0.017018,           0.0032316,          0.00050468,            0.008284,            0.008284,            0.008284
                  54,            0.027693,           0.0097979,           0.0034643,             0.76839,             0.77997,             0.81922,               0.625,            0.017454,           0.0030362,          0.00047209,            0.008251,            0.008251,            0.008251
                  55,            0.027775,           0.0099404,            0.003163,             0.83061,             0.76645,             0.84078,             0.61882,            0.017456,           0.0030488,          0.00059566,            0.008218,            0.008218,            0.008218
                  56,            0.027845,           0.0098823,           0.0030297,             0.81891,             0.77745,             0.81634,             0.60164,            0.018906,           0.0031392,          0.00047271,            0.008185,            0.008185,            0.008185
                  57,            0.027843,           0.0098819,           0.0030959,             0.76877,             0.78995,              0.8283,             0.60792,            0.017507,           0.0030603,          0.00051674,            0.008152,            0.008152,            0.008152
                  58,            0.027341,           0.0099271,           0.0026788,             0.81235,             0.79678,              0.8384,             0.62035,            0.017502,           0.0030177,          0.00046191,            0.008119,            0.008119,            0.008119
                  59,            0.026826,           0.0095789,           0.0026266,             0.83628,             0.78005,             0.83157,             0.62623,            0.017011,           0.0029812,          0.00041906,            0.008086,            0.008086,            0.008086
                  60,            0.027584,           0.0098393,           0.0031362,             0.86722,             0.78142,             0.84144,             0.63827,            0.017276,           0.0030557,          0.00045383,            0.008053,            0.008053,            0.008053
                  61,            0.027077,           0.0098579,           0.0030342,             0.82371,             0.80427,             0.83976,             0.62508,            0.016312,           0.0030078,           0.0003857,             0.00802,             0.00802,             0.00802
                  62,            0.030049,            0.010254,           0.0042937,             0.77509,             0.78135,             0.81379,             0.61526,            0.016665,           0.0030707,          0.00047808,            0.007987,            0.007987,            0.007987
                  63,            0.028479,            0.010013,           0.0028983,             0.81322,             0.79861,             0.83907,             0.64235,            0.017173,            0.003049,          0.00059327,            0.007954,            0.007954,            0.007954
                  64,            0.028308,            0.010252,           0.0032274,             0.78711,             0.82585,             0.83677,              0.6178,            0.016839,            0.003047,          0.00039873,            0.007921,            0.007921,            0.007921
                  65,            0.027909,           0.0097715,           0.0030893,             0.82888,             0.82028,              0.8478,             0.63869,            0.016773,           0.0030164,          0.00042494,            0.007888,            0.007888,            0.007888
                  66,            0.027497,            0.009776,           0.0025212,             0.83002,             0.84067,             0.85048,             0.64458,            0.015385,           0.0029248,           0.0004587,            0.007855,            0.007855,            0.007855
                  67,            0.026096,           0.0092827,           0.0018393,             0.80207,             0.82555,             0.84325,             0.64381,            0.016258,           0.0028754,           0.0003739,            0.007822,            0.007822,            0.007822
                  68,            0.027364,           0.0096486,           0.0025925,              0.8256,             0.79897,             0.86028,             0.64199,            0.016625,           0.0029604,          0.00035215,            0.007789,            0.007789,            0.007789
                  69,            0.027481,           0.0096874,           0.0031297,             0.77665,             0.78627,             0.82383,             0.62243,            0.016204,           0.0030398,          0.00033928,            0.007756,            0.007756,            0.007756
                  70,            0.026508,           0.0098145,           0.0036874,             0.83221,             0.79983,              0.8408,             0.63003,            0.016158,           0.0030186,           0.0004206,            0.007723,            0.007723,            0.007723
                  71,            0.027136,           0.0095532,           0.0028901,             0.83336,             0.80003,             0.84162,             0.63734,            0.015602,           0.0029357,          0.00038036,             0.00769,             0.00769,             0.00769
                  72,            0.028172,           0.0096181,           0.0029485,             0.84758,             0.79874,             0.85339,             0.64511,            0.016038,           0.0029526,          0.00035598,            0.007657,            0.007657,            0.007657
                  73,            0.026801,           0.0096873,           0.0027106,             0.81752,             0.83461,              0.8472,             0.65753,             0.01589,           0.0029565,          0.00040524,            0.007624,            0.007624,            0.007624
                  74,            0.027301,           0.0098314,            0.002609,             0.80966,             0.82199,             0.84599,             0.65977,            0.015488,           0.0028927,          0.00028992,            0.007591,            0.007591,            0.007591
                  75,            0.027133,           0.0097143,           0.0026415,             0.84188,             0.79983,             0.85859,             0.65425,            0.015463,           0.0028885,          0.00034399,            0.007558,            0.007558,            0.007558
                  76,            0.026989,             0.00962,           0.0021003,             0.83068,             0.83509,              0.8699,             0.66288,            0.015551,           0.0028829,          0.00038995,            0.007525,            0.007525,            0.007525
                  77,              0.0259,           0.0096364,           0.0021056,             0.84407,             0.81257,             0.86567,             0.66407,            0.015981,           0.0029128,          0.00038693,            0.007492,            0.007492,            0.007492
                  78,            0.026939,           0.0095167,           0.0030133,             0.85142,             0.76857,             0.85219,             0.64331,            0.015702,           0.0030085,          0.00045006,            0.007459,            0.007459,            0.007459
                  79,            0.026575,           0.0097488,           0.0029617,             0.86056,             0.78403,              0.8512,             0.64813,            0.015357,           0.0028476,           0.0005358,            0.007426,            0.007426,            0.007426
                  80,            0.026238,           0.0094382,           0.0026477,             0.85756,             0.81317,             0.85915,             0.64431,            0.015638,           0.0028552,           0.0006694,            0.007393,            0.007393,            0.007393
                  81,            0.026437,           0.0093576,           0.0020486,             0.86358,             0.82775,             0.86653,             0.65156,            0.015781,            0.002916,          0.00041136,             0.00736,             0.00736,             0.00736
                  82,            0.025767,           0.0092483,            0.001617,             0.83955,             0.84216,             0.87033,               0.663,            0.015556,           0.0028908,          0.00030308,            0.007327,            0.007327,            0.007327
                  83,            0.027522,            0.009342,           0.0027133,             0.87837,             0.82359,             0.87048,             0.66553,            0.015818,           0.0029125,          0.00026982,            0.007294,            0.007294,            0.007294
                  84,            0.025974,           0.0093077,           0.0017671,                0.85,             0.83436,             0.87413,             0.67368,            0.015776,           0.0028541,          0.00026374,            0.007261,            0.007261,            0.007261
                  85,            0.026304,           0.0093212,           0.0025236,             0.86214,             0.82463,             0.87895,             0.68184,            0.015564,           0.0028792,          0.00036692,            0.007228,            0.007228,            0.007228
                  86,            0.027007,           0.0098062,           0.0028372,             0.87789,             0.81449,             0.87045,             0.67546,             0.01557,           0.0029675,          0.00036033,            0.007195,            0.007195,            0.007195
                  87,              0.0259,           0.0096983,           0.0025353,             0.89582,             0.80509,              0.8691,             0.67062,            0.015684,           0.0029228,          0.00033252,            0.007162,            0.007162,            0.007162
                  88,            0.027032,           0.0094638,           0.0025008,             0.86467,             0.82949,             0.87484,             0.67901,            0.015626,           0.0029152,          0.00028839,            0.007129,            0.007129,            0.007129
                  89,            0.026203,           0.0092803,           0.0026668,             0.87641,              0.8021,             0.86298,             0.67351,            0.015447,           0.0029639,          0.00026826,            0.007096,            0.007096,            0.007096
                  90,            0.025851,           0.0092451,           0.0024221,             0.85148,             0.83021,             0.87138,             0.67969,            0.015456,           0.0029165,          0.00026961,            0.007063,            0.007063,            0.007063
                  91,            0.025212,           0.0093935,            0.003063,             0.89358,             0.81526,             0.88111,               0.686,            0.015754,           0.0029001,          0.00026875,             0.00703,             0.00703,             0.00703
                  92,            0.025186,           0.0090426,           0.0021289,             0.86602,             0.82291,             0.88653,             0.68572,            0.015439,           0.0028829,          0.00025918,            0.006997,            0.006997,            0.006997
                  93,             0.02553,           0.0091482,           0.0019709,             0.86566,             0.83562,             0.88635,             0.69112,            0.014957,           0.0028714,          0.00026267,            0.006964,            0.006964,            0.006964
                  94,            0.025792,           0.0093722,           0.0025891,             0.84934,             0.85317,             0.88722,             0.69519,            0.014693,           0.0028444,          0.00030935,            0.006931,            0.006931,            0.006931
